,age,class_of_worker,detailed_industry_recode,detailed_occupation_recode,education,wage_per_hour,enroll_in_edu_inst_last_wk,marital_stat,major_industry_code,major_occupation_code,race,hispanic_origin,sex,member_of_a_labor_union,reason_for_unemployment,full_or_part_time_employment_stat,capital_gains,capital_losses,dividends_from_stocks,tax_filer_stat,region_of_previous_residence,state_of_previous_residence,detailed_household_and_family_stat,detailed_household_summary_in_household,instance_weight,migration_code_change_in_msa,migration_code-change_in_reg,migration_code-move_within_reg,live_in_this_house_1_year_ago,migration_prev_res_in_sunbelt,num_persons_worked_for_employer,family_members_under_18,country_of_birth_father,country_of_birth_mother,country_of_birth_self,citizenship,own_business_or_self_employed,fill_inc_questionnaire_for_veteran's_admin,veterans_benefits,weeks_worked_in_year,year,income_gt_50k,dataset_partition
432,5,not_in_universe,0,0,0,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,white,all_other,male,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,child_<18_never_marr_not_in_subfamily,child_under_18_never_married,2258.76,?,?,?,not_in_universe_under_1_year_old,?,0,both_parents_present,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,not_in_universe,0,2,0,training_set
433,18,self-employed-incorporated,2,43,9,0,college_or_university,never_married,agriculture,farming_forestry_and_fishing,white,all_other,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,single,not_in_universe,not_in_universe,child_18+_never_marr_not_in_a_subfamily,child_18_or_older,1644.31,nonmover,nonmover,nonmover,yes,not_in_universe,1,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,no,not_in_universe,no,10,1,0,training_set
434,52,private,33,19,9,0,not_in_universe,widowed,retail_trade,sales,white,all_other,female,not_in_universe,not_in_universe,children_or_armed_forces,0,1762,0,single,not_in_universe,not_in_universe,householder,householder,784.07,nonmover,nonmover,nonmover,yes,not_in_universe,6,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,no,not_in_universe,no,36,1,0,training_set
435,64,private,8,3,10,0,not_in_universe,married-civilian_spouse_present,manufacturing-durable_goods,executive_admin_and_managerial,white,all_other,male,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,joint_both_under_65,not_in_universe,not_in_universe,householder,householder,2205.81,nonmover,nonmover,nonmover,yes,not_in_universe,6,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,1,0,training_set
436,48,private,37,31,9,0,not_in_universe,never_married,business_and_repair_services,other_service,black,all_other,male,not_in_universe,not_in_universe,unemployed_full-time,0,0,0,single,not_in_universe,not_in_universe,nonfamily_householder,householder,3568.83,?,?,?,not_in_universe_under_1_year_old,?,3,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,no,not_in_universe,no,52,2,0,training_set
437,37,federal_government,29,25,9,0,not_in_universe,married-civilian_spouse_present,transportation,adm_support_including_clerical,white,all_other,female,not_in_universe,not_in_universe,full-time_schedules,0,0,0,joint_both_under_65,not_in_universe,not_in_universe,spouse_of_householder,spouse_of_householder,3515.55,?,?,?,not_in_universe_under_1_year_old,?,6,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,2,0,training_set
438,1,not_in_universe,0,0,0,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,white,all_other,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,child_<18_never_marr_not_in_subfamily,child_under_18_never_married,2575.03,nonmover,nonmover,nonmover,yes,not_in_universe,0,both_parents_present,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,not_in_universe,0,1,0,training_set
439,28,private,34,26,10,0,not_in_universe,married-civilian_spouse_present,finance_insurance_and_real_estate,adm_support_including_clerical,black,all_other,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,joint_both_under_65,midwest,minnesota,spouse_of_householder,spouse_of_householder,2493.39,msa_to_msa,different_region,different_state_in_midwest,no,no,6,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,40,1,0,training_set
440,22,not_in_universe,0,0,10,0,college_or_university,never_married,not_in_universe_or_children,not_in_universe,white,all_other,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,single,not_in_universe,not_in_universe,child_18+_never_marr_not_in_a_subfamily,child_18_or_older,1739.95,nonmover,nonmover,nonmover,yes,not_in_universe,6,not_in_universe,italy,italy,italy,foreign_born-_not_a_citizen_of_u_s,no,not_in_universe,no,34,1,0,training_set
441,39,state_government,43,10,11,0,not_in_universe,married-civilian_spouse_present,education,professional_specialty,white,all_other,male,yes,not_in_universe,pt_for_econ_reasons_usually_pt,0,0,0,joint_both_under_65,not_in_universe,not_in_universe,householder,householder,3068.66,?,?,?,not_in_universe_under_1_year_old,?,6,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,2,0,training_set
442,60,not_in_universe,0,0,6,0,not_in_universe,widowed,not_in_universe_or_children,not_in_universe,black,all_other,female,not_in_universe,not_in_universe,not_in_labor_force,0,0,0,nonfiler,not_in_universe,not_in_universe,nonfamily_householder,householder,3299.21,?,?,?,not_in_universe_under_1_year_old,?,0,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,0,2,0,training_set
443,15,not_in_universe,0,0,4,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,white,all_other,female,not_in_universe,not_in_universe,not_in_labor_force,0,0,0,nonfiler,not_in_universe,not_in_universe,child_<18_never_marr_not_in_subfamily,child_under_18_never_married,1948.71,?,?,?,not_in_universe_under_1_year_old,?,0,father_only_present,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,0,2,0,training_set
444,55,private,45,3,13,0,not_in_universe,married-civilian_spouse_present,other_professional_services,executive_admin_and_managerial,white,all_other,male,not_in_universe,not_in_universe,full-time_schedules,0,0,1000,joint_both_under_65,not_in_universe,not_in_universe,spouse_of_householder,spouse_of_householder,1898.08,?,?,?,not_in_universe_under_1_year_old,?,3,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,2,1,training_set
445,65,private,45,28,10,0,not_in_universe,separated,other_professional_services,protective_services,black,all_other,female,not_in_universe,not_in_universe,pt_for_econ_reasons_usually_pt,0,1816,0,single,not_in_universe,not_in_universe,householder,householder,1119.12,?,?,?,not_in_universe_under_1_year_old,?,3,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,2,0,training_set
446,35,private,9,37,9,0,not_in_universe,married-civilian_spouse_present,manufacturing-durable_goods,machine_operators_assmblrs_&_inspctrs,white,all_other,male,not_in_universe,not_in_universe,full-time_schedules,0,0,0,joint_both_under_65,not_in_universe,not_in_universe,householder,householder,2052.61,?,?,?,not_in_universe_under_1_year_old,?,4,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,2,0,training_set
447,44,private,33,28,9,0,not_in_universe,married-civilian_spouse_present,retail_trade,protective_services,white,mexican-american,male,not_in_universe,job_loser_-_on_layoff,children_or_armed_forces,0,0,0,joint_both_under_65,not_in_universe,not_in_universe,householder,householder,2228.68,nonmover,nonmover,nonmover,yes,not_in_universe,1,not_in_universe,united-states,mexico,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,1,0,training_set
448,33,private,42,13,10,0,not_in_universe,married-civilian_spouse_present,medical_except_hospital,technicians_and_related_support,white,all_other,female,not_in_universe,not_in_universe,full-time_schedules,0,1887,0,joint_both_under_65,not_in_universe,not_in_universe,householder,householder,1636.38,?,?,?,not_in_universe_under_1_year_old,?,5,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,no,not_in_universe,no,48,2,0,training_set
449,20,not_in_universe,0,0,10,0,college_or_university,never_married,not_in_universe_or_children,not_in_universe,white,all_other,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,child_18+_never_marr_not_in_a_subfamily,child_18_or_older,2012.12,nonmover,nonmover,nonmover,yes,not_in_universe,0,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,0,1,0,training_set
450,37,not_in_universe,0,0,12,0,not_in_universe,married-civilian_spouse_present,not_in_universe_or_children,not_in_universe,white,all_other,male,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,joint_both_under_65,south,arkansas,householder,householder,1421.03,nonmsa_to_nonmsa,same_county,same_county,no,yes,3,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,no,not_in_universe,no,16,1,0,training_set
451,20,not_in_universe,0,0,6,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,other,puerto_rican,male,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,nonfamily_householder,householder,1003.12,nonmover,nonmover,nonmover,yes,not_in_universe,0,not_in_universe,puerto-rico,puerto-rico,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,0,1,0,training_set
452,47,local_government,47,28,13,0,not_in_universe,married-civilian_spouse_present,public_administration,protective_services,white,all_other,male,not_in_universe,not_in_universe,pt_for_non-econ_reasons_usually_ft,0,0,0,joint_both_under_65,not_in_universe,not_in_universe,householder,householder,1958.72,?,?,?,not_in_universe_under_1_year_old,?,6,not_in_universe,puerto-rico,ireland,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,2,1,training_set
453,10,not_in_universe,0,0,0,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,black,all_other,male,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,secondary_individual,nonrelative_of_householder,2633.74,?,?,?,not_in_universe_under_1_year_old,?,0,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,not_in_universe,0,2,0,training_set
454,10,not_in_universe,0,0,0,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,white,all_other,male,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,child_<18_never_marr_not_in_subfamily,child_under_18_never_married,278.98,?,?,?,not_in_universe_under_1_year_old,?,0,mother_only_present,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,not_in_universe,0,2,0,training_set
455,66,not_in_universe,0,0,6,0,not_in_universe,married-civilian_spouse_present,not_in_universe_or_children,not_in_universe,white,all_other,male,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,householder,householder,612.13,nonmover,nonmover,nonmover,yes,not_in_universe,2,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,1,1,0,training_set
456,5,not_in_universe,0,0,0,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,white,puerto_rican,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,child_<18_never_marr_not_in_subfamily,child_under_18_never_married,1243.98,nonmover,nonmover,nonmover,yes,not_in_universe,0,both_parents_present,puerto-rico,puerto-rico,?,native-_born_abroad_of_american_parent(s),not_in_universe,not_in_universe,not_in_universe,0,1,0,training_set
457,69,not_in_universe,0,0,9,0,not_in_universe,married-civilian_spouse_present,not_in_universe_or_children,not_in_universe,white,all_other,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,joint_both_65+,not_in_universe,not_in_universe,spouse_of_householder,spouse_of_householder,3363.46,nonmover,nonmover,nonmover,yes,not_in_universe,0,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,0,1,0,training_set
458,44,not_in_universe,0,0,1,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,white,all_other,male,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,child_18+_never_marr_not_in_a_subfamily,child_18_or_older,1750.68,nonmover,nonmover,nonmover,yes,not_in_universe,0,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,0,1,0,training_set
459,33,not_in_universe,0,0,9,0,not_in_universe,married-civilian_spouse_present,not_in_universe_or_children,not_in_universe,white,all_other,female,not_in_universe,not_in_universe,not_in_labor_force,0,0,0,joint_both_under_65,not_in_universe,not_in_universe,spouse_of_householder,spouse_of_householder,1622.42,?,?,?,not_in_universe_under_1_year_old,?,0,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,0,2,0,training_set
460,12,not_in_universe,0,0,0,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,asian_or_pacific_islander,all_other,male,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,child_<18_never_marr_not_in_subfamily,child_under_18_never_married,1976.89,nonmover,nonmover,nonmover,yes,not_in_universe,0,both_parents_present,vietnam,vietnam,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,not_in_universe,0,1,0,training_set
461,12,not_in_universe,0,0,0,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,white,mexican_(mexicano),male,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,child_<18_never_marr_not_in_subfamily,child_under_18_never_married,726.46,?,?,?,not_in_universe_under_1_year_old,?,0,both_parents_present,mexico,mexico,mexico,foreign_born-_not_a_citizen_of_u_s,not_in_universe,not_in_universe,not_in_universe,0,2,0,training_set
462,34,private,32,33,11,0,not_in_universe,married-civilian_spouse_present,wholesale_trade,precision_production_craft_&_repair,white,all_other,male,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,joint_both_under_65,not_in_universe,not_in_universe,householder,householder,3348.05,nonmover,nonmover,nonmover,yes,not_in_universe,4,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,1,0,training_set
463,4,not_in_universe,0,0,0,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,amer_indian_aleut_or_eskimo,all_other,male,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,other_rel_<18_never_marr_child_of_subfamily_rp,other_relative_of_householder,1149.5,?,?,?,not_in_universe_under_1_year_old,?,0,mother_only_present,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,not_in_universe,0,2,0,training_set
464,20,private,33,29,7,0,not_in_universe,never_married,retail_trade,other_service,black,all_other,male,not_in_universe,re-entrant,unemployed_full-time,0,0,0,nonfiler,not_in_universe,not_in_universe,child_18+_never_marr_not_in_a_subfamily,child_18_or_older,2602.61,?,?,?,not_in_universe_under_1_year_old,?,3,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,no,not_in_universe,no,8,2,0,training_set
465,58,not_in_universe,0,0,10,0,not_in_universe,married-civilian_spouse_present,not_in_universe_or_children,not_in_universe,white,all_other,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,joint_both_under_65,not_in_universe,not_in_universe,spouse_of_householder,spouse_of_householder,2481.33,nonmover,nonmover,nonmover,yes,not_in_universe,0,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,0,1,0,training_set
466,22,not_in_universe,0,0,10,0,college_or_university,never_married,not_in_universe_or_children,not_in_universe,white,all_other,male,not_in_universe,not_in_universe,not_in_labor_force,0,0,0,single,not_in_universe,not_in_universe,child_18+_never_marr_not_in_a_subfamily,child_18_or_older,3419.01,?,?,?,not_in_universe_under_1_year_old,?,6,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,13,2,0,training_set
467,23,private,42,32,13,500,college_or_university,never_married,medical_except_hospital,other_service,white,all_other,female,no,not_in_universe,children_or_armed_forces,0,0,0,single,not_in_universe,not_in_universe,child_18+_never_marr_not_in_a_subfamily,child_18_or_older,1504.43,nonmover,nonmover,nonmover,yes,not_in_universe,0,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,0,1,0,training_set
468,38,private,4,39,8,0,not_in_universe,married-civilian_spouse_present,construction,transportation_and_material_moving,white,mexican_(mexicano),male,not_in_universe,not_in_universe,full-time_schedules,0,0,0,joint_both_under_65,not_in_universe,not_in_universe,householder,householder,2585.84,?,?,?,not_in_universe_under_1_year_old,?,0,not_in_universe,mexico,mexico,mexico,foreign_born-_not_a_citizen_of_u_s,not_in_universe,not_in_universe,no,0,2,0,training_set
469,62,private,4,34,4,0,not_in_universe,married-civilian_spouse_present,construction,precision_production_craft_&_repair,white,all_other,male,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,joint_both_under_65,not_in_universe,not_in_universe,spouse_of_householder,spouse_of_householder,304.12,nonmover,nonmover,nonmover,yes,not_in_universe,3,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,1,0,training_set
470,67,private,35,34,4,790,not_in_universe,married-civilian_spouse_present,finance_insurance_and_real_estate,precision_production_craft_&_repair,white,all_other,male,no,not_in_universe,children_or_armed_forces,0,0,0,joint_one_under_65_&_one_65+,not_in_universe,not_in_universe,householder,householder,1350.21,nonmover,nonmover,nonmover,yes,not_in_universe,3,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,1,0,training_set
471,14,not_in_universe,0,0,0,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,white,all_other,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,child_<18_never_marr_not_in_subfamily,child_under_18_never_married,2612.42,?,?,?,not_in_universe_under_1_year_old,?,0,both_parents_present,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,not_in_universe,0,2,0,training_set
472,8,not_in_universe,0,0,0,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,white,mexican-american,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,child_<18_never_marr_not_in_subfamily,child_under_18_never_married,1784.42,nonmover,nonmover,nonmover,yes,not_in_universe,0,both_parents_present,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,not_in_universe,0,1,0,training_set
473,26,private,36,27,12,0,not_in_universe,married-civilian_spouse_present,private_household_services,private_household_services,white,all_other,female,not_in_universe,not_in_universe,full-time_schedules,0,0,0,joint_both_under_65,not_in_universe,not_in_universe,spouse_of_householder,spouse_of_householder,4030.71,?,?,?,not_in_universe_under_1_year_old,?,1,not_in_universe,united-states,germany,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,2,0,training_set
474,13,not_in_universe,0,0,0,0,not_in_universe,never_married,not_in_universe_or_children,not_in_universe,white,all_other,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,nonfiler,not_in_universe,not_in_universe,child_<18_never_marr_not_in_subfamily,child_under_18_never_married,667.37,?,?,?,not_in_universe_under_1_year_old,?,0,both_parents_present,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,not_in_universe,0,2,0,training_set
475,38,private,22,37,9,0,not_in_universe,married-civilian_spouse_present,manufacturing-nondurable_goods,machine_operators_assmblrs_&_inspctrs,black,all_other,female,not_in_universe,job_loser_-_on_layoff,children_or_armed_forces,0,0,0,joint_both_under_65,south,north_dakota,spouse_of_householder,spouse_of_householder,925.2,nonmsa_to_nonmsa,same_county,same_county,no,yes,3,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,50,1,0,training_set
476,22,private,34,21,11,850,not_in_universe,never_married,finance_insurance_and_real_estate,adm_support_including_clerical,white,all_other,male,no,not_in_universe,full-time_schedules,0,0,0,single,not_in_universe,not_in_universe,child_18+_never_marr_not_in_a_subfamily,child_18_or_older,132.51,?,?,?,not_in_universe_under_1_year_old,?,5,not_in_universe,united-states,?,?,native-_born_abroad_of_american_parent(s),not_in_universe,not_in_universe,no,52,2,0,training_set
477,69,not_in_universe,0,0,12,0,not_in_universe,married-civilian_spouse_present,not_in_universe_or_children,not_in_universe,white,all_other,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,joint_both_65+,not_in_universe,not_in_universe,householder,householder,1353.88,nonmover,nonmover,nonmover,yes,not_in_universe,0,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,0,1,0,training_set
478,43,private,5,35,10,0,not_in_universe,married-civilian_spouse_present,manufacturing-durable_goods,precision_production_craft_&_repair,white,all_other,male,not_in_universe,not_in_universe,full-time_schedules,0,0,15,joint_both_under_65,not_in_universe,not_in_universe,householder,householder,2437.87,?,?,?,not_in_universe_under_1_year_old,?,6,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,2,0,training_set
479,28,private,33,16,9,0,not_in_universe,married-civilian_spouse_present,retail_trade,sales,white,all_other,female,not_in_universe,not_in_universe,full-time_schedules,0,0,0,joint_both_under_65,not_in_universe,not_in_universe,spouse_of_householder,spouse_of_householder,3713.29,?,?,?,not_in_universe_under_1_year_old,?,1,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,2,0,training_set
480,34,private,17,37,12,0,not_in_universe,married-civilian_spouse_present,manufacturing-durable_goods,machine_operators_assmblrs_&_inspctrs,white,all_other,male,not_in_universe,not_in_universe,full-time_schedules,0,0,0,joint_both_under_65,not_in_universe,not_in_universe,householder,householder,2139.95,?,?,?,not_in_universe_under_1_year_old,?,6,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,2,0,training_set
481,42,self-employed-not_incorporated,1,44,3,0,not_in_universe,married-civilian_spouse_present,agriculture,farming_forestry_and_fishing,white,mexican_(mexicano),male,not_in_universe,not_in_universe,full-time_schedules,0,0,0,nonfiler,not_in_universe,not_in_universe,householder,householder,1158.99,?,?,?,not_in_universe_under_1_year_old,?,1,not_in_universe,mexico,mexico,mexico,foreign_born-_not_a_citizen_of_u_s,not_in_universe,not_in_universe,no,52,2,0,training_set
482,30,private,13,36,10,0,not_in_universe,divorced,manufacturing-durable_goods,machine_operators_assmblrs_&_inspctrs,white,all_other,male,not_in_universe,not_in_universe,children_or_armed_forces,0,1617,0,single,not_in_universe,not_in_universe,nonfamily_householder,householder,1826.66,nonmover,nonmover,nonmover,yes,not_in_universe,5,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,1,0,training_set
483,67,not_in_universe,0,0,9,0,not_in_universe,married-civilian_spouse_present,not_in_universe_or_children,not_in_universe,white,all_other,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,joint_both_65+,not_in_universe,not_in_universe,spouse_of_householder,spouse_of_householder,3257.36,nonmover,nonmover,nonmover,yes,not_in_universe,0,not_in_universe,?,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,0,1,0,training_set
484,41,private,2,44,2,0,not_in_universe,married-spouse_absent,agriculture,farming_forestry_and_fishing,white,mexican_(mexicano),male,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,head_of_household,not_in_universe,not_in_universe,householder,householder,2457.94,nonmover,nonmover,nonmover,yes,not_in_universe,2,not_in_universe,mexico,mexico,mexico,foreign_born-_not_a_citizen_of_u_s,not_in_universe,not_in_universe,no,52,1,0,training_set
485,18,private,33,26,9,0,not_in_universe,never_married,retail_trade,adm_support_including_clerical,white,all_other,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,single,not_in_universe,not_in_universe,child_18+_never_marr_not_in_a_subfamily,child_18_or_older,1311.16,nonmover,nonmover,nonmover,yes,not_in_universe,4,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,1,0,training_set
486,45,state_government,43,10,14,0,not_in_universe,married-civilian_spouse_present,education,professional_specialty,white,all_other,male,not_in_universe,not_in_universe,full-time_schedules,0,0,100,joint_both_under_65,not_in_universe,not_in_universe,householder,householder,1612.03,?,?,?,not_in_universe_under_1_year_old,?,6,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,2,0,training_set
487,33,private,33,16,10,0,not_in_universe,divorced,retail_trade,sales,white,all_other,male,not_in_universe,not_in_universe,full-time_schedules,0,0,0,head_of_household,not_in_universe,not_in_universe,rp_of_unrelated_subfamily,nonrelative_of_householder,2216.73,?,?,?,not_in_universe_under_1_year_old,?,3,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,2,0,training_set
488,45,private,44,12,13,0,not_in_universe,never_married,social_services,professional_specialty,white,all_other,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,single,not_in_universe,not_in_universe,secondary_individual,nonrelative_of_householder,605.79,nonmover,nonmover,nonmover,yes,not_in_universe,1,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,no,not_in_universe,no,52,1,0,training_set
489,27,private,36,27,4,0,not_in_universe,never_married,private_household_services,private_household_services,white,all_other,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,single,not_in_universe,not_in_universe,child_18+_never_marr_not_in_a_subfamily,child_18_or_older,1626.93,nonmover,nonmover,nonmover,yes,not_in_universe,1,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,1,0,training_set
490,33,not_in_universe,0,0,9,0,not_in_universe,divorced,not_in_universe_or_children,not_in_universe,white,all_other,female,not_in_universe,not_in_universe,children_or_armed_forces,0,0,0,head_of_household,not_in_universe,not_in_universe,householder,householder,1845.0,nonmover,nonmover,nonmover,yes,not_in_universe,6,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,1,0,training_set
491,47,self-employed-not_incorporated,35,17,10,0,not_in_universe,married-civilian_spouse_present,finance_insurance_and_real_estate,sales,white,all_other,female,not_in_universe,not_in_universe,full-time_schedules,0,0,750,joint_both_under_65,not_in_universe,not_in_universe,spouse_of_householder,spouse_of_householder,1688.23,?,?,?,not_in_universe_under_1_year_old,?,0,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,0,2,0,training_set
492,27,private,45,11,16,0,not_in_universe,never_married,other_professional_services,professional_specialty,white,all_other,male,not_in_universe,not_in_universe,full-time_schedules,14084,0,0,single,not_in_universe,not_in_universe,nonfamily_householder,householder,1485.58,?,?,?,not_in_universe_under_1_year_old,?,6,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,2,1,training_set
493,39,self-employed-incorporated,32,16,9,0,not_in_universe,married-civilian_spouse_present,wholesale_trade,sales,white,all_other,male,not_in_universe,not_in_universe,pt_for_non-econ_reasons_usually_ft,0,0,1750,joint_both_under_65,not_in_universe,not_in_universe,householder,householder,2022.84,?,?,?,not_in_universe_under_1_year_old,?,1,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,not_in_universe,no,52,2,0,training_set
494,67,private,37,28,10,0,not_in_universe,married-civilian_spouse_present,business_and_repair_services,protective_services,white,all_other,male,not_in_universe,not_in_universe,full-time_schedules,9386,0,0,joint_one_under_65_&_one_65+,not_in_universe,not_in_universe,householder,householder,2851.65,?,?,?,not_in_universe_under_1_year_old,?,6,not_in_universe,united-states,united-states,united-states,native-_born_in_the_united_states,not_in_universe,no,yes,52,2,1,training_set
